embedding,date,data,naiveATC,naiveLCI,naiveUCI,vrmeATC,vrmeLCI,vrmeUCI,max_cosine
doc2vec1000_embeddings.csv,rebuttal,all_2017_2018,-0.6111011904761972,-0.7416912202380941,-0.48220932539682515,-0.6273630702414414,-0.7220042398725405,-0.5301960609018298,0.3211
doc2vec1000_embeddings.csv,decision,all_2018,-0.7491073616410526,-0.8960366565150911,-0.5970146205995255,-0.6436798215177056,-0.7606462674168205,-0.5298287999686249,0.3015
doc2vec1000_embeddings.csv,decision,found_2018,0.025992108596109453,-0.1671797364660771,0.22081063472217136,-0.0072790074965109666,-0.13438011346896572,0.11863145397823587,0.322
doc2vec1000_embeddings.csv,decision,all_2017_found_2018,0.13528947380695122,-0.05042739774428713,0.3207085193270146,0.08046448078234385,-0.03090043113493353,0.19413920555080835,0.3211
doc2vec1000_embeddings.csv,decision,all_2017_2018,-0.6398099964302109,-0.7619489946754716,-0.5181405455752142,-0.6666234351025077,-0.7595510351225601,-0.5721650105986059,0.3211
bow_embeddings.csv,reviewer,all_2018,-0.6796990535344563,-0.8305798950014739,-0.5287471963422983,-0.6121042770876463,-0.735893935472739,-0.4904007073844021,0.568
bow_embeddings.csv,reviewer,found_2018,0.03133757041744989,-0.1674224204343006,0.21809478670133428,0.14475031127139848,-0.00811228611812337,0.3002278018112894,0.592
bow_embeddings.csv,reviewer,all_2017_found_2018,0.14450777103142531,-0.02340016038493522,0.3170753379539528,0.1500935483347548,0.01084197153438996,0.29059077977327946,0.592
bow_embeddings.csv,reviewer,all_2017_2018,-0.5665288529204808,-0.6903303620298803,-0.4397643971381739,-0.5678839356161287,-0.6846700804545324,-0.44818821986546475,0.592
bow_embeddings.csv,rebuttal,all_2018,-0.7243154761904771,-0.876799107142853,-0.576753720238096,-0.6048838873015868,-0.7198339285714285,-0.4883952380952374,0.5736
bow_embeddings.csv,rebuttal,found_2018,0.0172421695951126,-0.1804645085306828,0.20976581996434696,0.16260770374200484,0.009234231139220483,0.3164861700563004,0.592
bow_embeddings.csv,rebuttal,all_2017_found_2018,0.13045645530939254,-0.04713490737203478,0.3054201813301029,0.11109980236167681,-0.026254113486187357,0.25511927568290227,0.592
bow_embeddings.csv,rebuttal,all_2017_2018,-0.6111011904761972,-0.7416912202380941,-0.48220932539682515,-0.6158194004128728,-0.7277882611626486,-0.49733819184936884,0.592
bow_embeddings.csv,decision,all_2018,-0.7491073616410526,-0.8960366565150911,-0.5970146205995255,-0.6593441741539379,-0.770803665019467,-0.549335691823899,0.5736
bow_embeddings.csv,decision,found_2018,0.025992108596109453,-0.1671797364660771,0.22081063472217136,0.17619012303828374,0.027995372261079912,0.3275840095369602,0.592
bow_embeddings.csv,decision,all_2017_found_2018,0.13528947380695122,-0.05042739774428713,0.3207085193270146,0.1337260147127251,-0.0057615662716631166,0.2803884839259885,0.592
bow_embeddings.csv,decision,all_2017_2018,-0.6398099964302109,-0.7619489946754716,-0.5181405455752142,-0.6380217520769664,-0.7519983961960849,-0.5251000902323489,0.592
df_embeddings.csv,original,original,-0.25165096807953447,-0.3949246467817852,-0.1135001308215594,-0.16975167217363135,-0.28714692662779384,-0.04985991658568192,0.2343
doc2vec100_embeddings.csv,original,original,-0.25165096807953447,-0.3949246467817852,-0.1135001308215594,-0.18038590136054422,-0.29913520408163247,-0.06201488095238105,0.8785
doc2vec1000_embeddings.csv,original,original,-0.25165096807953447,-0.3949246467817852,-0.1135001308215594,-0.20823763945578233,-0.32698256802721093,-0.09285756802721135,0.9566
bow_embeddings.csv,original,remove_missing,-0.2510028315242989,-0.39304600009739366,-0.1121408814430305,-0.23847594599712146,-0.3549901740405314,-0.11980964824011832,0.594
